"MEDICAMENTOA","MEDICAMENTOB","WEIGHT"
"27","218","1"
"20","464","1"
"33","419","1"
"27","561","2"
"30","129","1"
"26","657","1"
"18","773","1"
"27","253","1"
"12","866","1"
"12","1098","1"
"43","83","2"
"33","449","2"
"44","109","1"
"26","262","2"
"12","1103","1"
"1969","5970","1"
"43","144","6"
"20","558","1"
"40","239","1"
"31","519","2"
"20","861","1"
"2","1420","5"
"40","243","5"
"31","520","2"
"20","865","1"
"46","60","2"
"2","1419","2"
"44","124","1"
"40","248","6"
"27","650","1"
"12","1116","1"
"36","376","2"
"29","594","2"
"36","378","1"
"28","491","1"
"40","253","1"
"27","659","1"
"44","119","2"
"33","176","1"
"2054","2984","1"
"40","246","1"
"2094","2103","1"
"30","572","1"
"10","1194","2"
"40","262","2"
"2083","2466","3"
"24","763","1"
"43","154","4"
"20","889","1"
"20","890","1"
"46","85","2"
"31","251","2"
"28","345","1"
"31","553","1"
"20","894","2"
"12","1144","1"
"20","896","3"
"12","1143","1"
"31","558","3"
"33","497","1"
"33","498","1"
"27","685","1"
"40","283","1"
"1939","6941","1"
"31","564","1"
"2083","2489","1"
"46","101","1"
"2","1466","1"
"44","164","2"
"31","569","2"
"44","166","1"
"24","787","1"
"28","659","1"
"43","201","1"
"28","657","1"
"44","172","2"
"14","1103","1"
"12","1165","1"
"30","608","1"
"39","325","1"
"20","921","1"
"3974","9284","1"
"31","572","1"
"40","276","1"
"40","52","3"
"31","150","1"
"40","286","1"
"6","767","1"
"27","712","1"
"14","1116","1"
"14","1117","1"
"33","493","1"
"2","1488","3"
"27","716","1"
"26","721","1"
"31","595","1"
"14","870","1"
"14","628","1"
"27","722","1"
"28","692","3"
"47","103","2"
"14","1128","1"
"26","754","1"
"38","133","1"
"26","753","1"
"27","728","1"
"1932","6833","1"
"1729","13490","1"
"31","608","2"
"2","1508","1"
"14","147","2"
"3824","14100","1"
"33","522","1"
"2","1421","4"
"14","1141","4"
"14","1142","1"
"14","1143","1"
"43","242","1"
"14","1145","1"
"40","337","1"
"30","650","1"
"31","621","2"
